strategy,budget,accuracy,fpr,mean_cost,survival_mass,accuracy_sd,fpr_sd
fixed,1,0.49399999999999994,0.7784615384615384,1.0,0.856,,
ig,1,0.8699999999999998,0.2,3.0,0.48000000000000004,,
ig_per_cost,1,0.49399999999999994,0.7784615384615384,1.0,0.856,,
random,1,0.5428161999999999,0.7033596923076925,1.49014,0.8071838000000001,0.07214386574777516,0.11099056268888484
fixed,2,0.49399999999999994,0.7784615384615384,2.0,0.856,,
ig,2,1.0,0.0,6.0,0.35,,
ig_per_cost,2,0.576,0.6523076923076925,2.0,0.774,,
random,2,0.6227253999999999,0.5804224615384618,2.98232,0.7272746,0.07442643786834593,0.11450221210514758
fixed,3,0.49399999999999994,0.7784615384615384,3.0,0.856,,
ig,3,1.0,0.0,6.0,0.35,,
ig_per_cost,3,0.646,0.5446153846153847,3.0,0.7040000000000001,,
random,3,0.6743581999999998,0.5009873846153847,4.490640000000001,0.6756418,0.07340129046991292,0.11292506226140452
fixed,4,0.49399999999999994,0.7784615384615384,4.0,0.856,,
ig,4,1.0,0.0,6.0,0.35,,
ig_per_cost,4,0.7040000000000001,0.4553846153846155,4.0,0.646,,
random,4,0.709911,0.44629076923076927,5.98508,0.6400890000000001,0.07156419891197822,0.11009876755688958
fixed,5,0.49399999999999994,0.7784615384615384,5.0,0.856,,
ig,5,1.0,0.0,6.0,0.35,,
ig_per_cost,5,0.7500000000000001,0.3846153846153847,5.0,0.6,,
random,5,0.7372478,0.4042341538461539,7.486140000000001,0.6127522000000001,0.07107356390006832,0.10934394446164357
fixed,6,0.576,0.6523076923076925,6.0,0.774,,
ig,6,1.0,0.0,6.0,0.35,,
ig_per_cost,6,1.0,0.0,8.0,0.35,,
random,6,0.7596291999999999,0.3698012307692308,8.96804,0.5903708000000001,0.0712296149011617,0.10958402292486415
fixed,8,0.576,0.6523076923076925,8.0,0.774,,
ig,8,1.0,0.0,6.0,0.35,,
ig_per_cost,8,1.0,0.0,8.0,0.35,,
random,8,0.7952478000000001,0.3150033846153846,11.94582,0.5547522,0.07123741818110635,0.10959602797093286
oracle_candidate_specific,1,1.0,0.0,,0.35,,
falsification_gain,1,0.8699999999999998,0.2,3.0,0.48000000000000004,,
falsification_gain_per_cost,1,0.8699999999999998,0.2,3.0,0.48000000000000004,,
falsification_gain,2,1.0,0.0,6.0,0.35,,
falsification_gain_per_cost,2,1.0,0.0,6.0,0.35,,
falsification_gain,3,1.0,0.0,6.0,0.35,,
falsification_gain_per_cost,3,1.0,0.0,6.0,0.35,,
falsification_gain,4,1.0,0.0,6.0,0.35,,
falsification_gain_per_cost,4,1.0,0.0,6.0,0.35,,
falsification_gain,5,1.0,0.0,6.0,0.35,,
falsification_gain_per_cost,5,1.0,0.0,6.0,0.35,,
falsification_gain,6,1.0,0.0,6.0,0.35,,
falsification_gain_per_cost,6,1.0,0.0,6.0,0.35,,
falsification_gain,8,1.0,0.0,6.0,0.35,,
falsification_gain_per_cost,8,1.0,0.0,6.0,0.35,,
