strategy,round,escape_rate,lo,hi,cumulative_cost
adaptive,1,0.20000000000000004,,,3.0
adaptive,2,0.0,,,6.0
adaptive,3,0.0,,,9.0
adaptive,4,0.0,,,12.0
adaptive,5,0.0,,,15.0
adaptive,6,0.0,,,18.0
adaptive,7,0.0,,,21.0
adaptive,8,0.0,,,24.0
adaptive,9,0.0,,,27.0
adaptive,10,0.0,,,30.0
adaptive_cost,1,0.20000000000000004,,,3.0
adaptive_cost,2,0.0,,,6.0
adaptive_cost,3,0.0,,,9.0
adaptive_cost,4,0.0,,,12.0
adaptive_cost,5,0.0,,,15.0
adaptive_cost,6,0.0,,,17.1
adaptive_cost,7,0.0,,,20.1
adaptive_cost,8,0.0,,,23.1
adaptive_cost,9,0.0,,,26.1
adaptive_cost,10,0.0,,,29.1
random,1,0.7212000000000003,0.7025420587809061,0.7398579412190944,1.4349999999999996
random,2,0.7279400670473776,0.7064456005181811,0.7494345335765741,2.8980000000000006
random,3,0.7529310502438995,0.732135252938015,0.773726847549784,4.398000000000001
random,4,0.7827627308413408,0.7587296263360447,0.806795835346637,5.877999999999999
random,5,0.8132863285120421,0.7877703041399772,0.838802352884107,7.435000000000001
random,6,0.8086322986778706,0.7793895991275894,0.8378749982281517,9.015
random,7,0.8162651764266089,0.7834943537045805,0.8490359991486373,10.492
random,8,0.7910617967472148,0.7495560519851812,0.8325675415092484,11.970999999999998
random,9,0.804573810436704,0.7621948304654154,0.8469527904079925,13.461999999999998
random,10,0.7965270746141354,0.7515607512624953,0.8414933979657755,14.987999999999998
