strategy,cost_budget,accuracy,fpr,actual_cost,tests
ig,1,0.35,0.9999999999999998,0.0,0.0
ig_per_cost,1,0.49399999999999994,0.7784615384615384,1.0,1.0
fixed,1,0.49399999999999994,0.7784615384615384,1.0,1.0
random,1,0.48105119999999996,0.7983827692307692,0.981,0.981
ig,2,0.35,0.9999999999999998,0.0,0.0
ig_per_cost,2,0.576,0.6523076923076925,2.0,2.0
fixed,2,0.49399999999999994,0.7784615384615384,2.0,2.0
random,2,0.5409805999999999,0.7061836923076926,1.76056,1.4338
ig,3,0.8699999999999998,0.2,3.0,1.0
ig_per_cost,3,0.646,0.5446153846153847,3.0,3.0
fixed,3,0.49399999999999994,0.7784615384615384,3.0,3.0
random,3,0.5988661999999999,0.6171289230769232,2.57594,1.9586
ig,4,0.8699999999999998,0.2,3.0,1.0
ig_per_cost,4,0.7040000000000001,0.4553846153846155,4.0,4.0
fixed,4,0.49399999999999994,0.7784615384615384,4.0,4.0
random,4,0.6392129999999999,0.5550569230769231,3.4824000000000006,2.5078
ig,5,0.8699999999999998,0.2,3.0,1.0
ig_per_cost,5,0.7500000000000001,0.3846153846153847,5.0,5.0
fixed,5,0.49399999999999994,0.7784615384615384,5.0,5.0
random,5,0.6698573999999999,0.5079116923076924,4.491700000000001,3.1724
ig,6,1.0,0.0,6.0,2.0
ig_per_cost,6,0.7500000000000001,0.3846153846153847,5.0,5.0
fixed,6,0.576,0.6523076923076925,6.0,6.0
random,6,0.6957054,0.46814553846153856,5.49878,3.8384
ig,8,1.0,0.0,6.0,2.0
ig_per_cost,8,1.0,0.0,8.0,6.0
fixed,8,0.576,0.6523076923076925,8.0,8.0
random,8,0.7349389999999999,0.40778615384615385,7.524720000000001,5.1758
ig,10,1.0,0.0,6.0,2.0
ig_per_cost,10,1.0,0.0,8.0,6.0
fixed,10,0.576,0.6523076923076925,8.0,8.0
random,10,0.764249,0.36269384615384614,9.5045,6.482
falsification_gain,1,0.35,0.9999999999999998,0.0,0.0
falsification_gain_per_cost,1,0.35,0.9999999999999998,0.0,0.0
falsification_gain,2,0.35,0.9999999999999998,0.0,0.0
falsification_gain_per_cost,2,0.35,0.9999999999999998,0.0,0.0
falsification_gain,3,0.8699999999999998,0.2,3.0,1.0
falsification_gain_per_cost,3,0.8699999999999998,0.2,3.0,1.0
falsification_gain,4,0.8699999999999998,0.2,3.0,1.0
falsification_gain_per_cost,4,0.8699999999999998,0.2,3.0,1.0
falsification_gain,5,0.8699999999999998,0.2,3.0,1.0
falsification_gain_per_cost,5,0.8699999999999998,0.2,3.0,1.0
falsification_gain,6,1.0,0.0,6.0,2.0
falsification_gain_per_cost,6,1.0,0.0,6.0,2.0
falsification_gain,8,1.0,0.0,6.0,2.0
falsification_gain_per_cost,8,1.0,0.0,6.0,2.0
falsification_gain,10,1.0,0.0,6.0,2.0
falsification_gain_per_cost,10,1.0,0.0,6.0,2.0
