budget,failure_family,metric,value
1,faithful,accept_rate,1.0
1,memorize,detection_rate,1.0
1,ignore1,detection_rate,1.0
1,ignore2,detection_rate,1.0
1,conditional,detection_rate,1.0
1,parity,detection_rate,0.0
2,faithful,accept_rate,1.0
2,memorize,detection_rate,1.0
2,ignore1,detection_rate,1.0
2,ignore2,detection_rate,1.0
2,conditional,detection_rate,1.0
2,parity,detection_rate,1.0
3,faithful,accept_rate,1.0
3,memorize,detection_rate,1.0
3,ignore1,detection_rate,1.0
3,ignore2,detection_rate,1.0
3,conditional,detection_rate,1.0
3,parity,detection_rate,1.0
4,faithful,accept_rate,1.0
4,memorize,detection_rate,1.0
4,ignore1,detection_rate,1.0
4,ignore2,detection_rate,1.0
4,conditional,detection_rate,1.0
4,parity,detection_rate,1.0
5,faithful,accept_rate,1.0
5,memorize,detection_rate,1.0
5,ignore1,detection_rate,1.0
5,ignore2,detection_rate,1.0
5,conditional,detection_rate,1.0
5,parity,detection_rate,1.0
