Domain,Method,Budget,Accuracy,Acc 95% low,Acc 95% high,FPR,FPR 95% low,FPR 95% high
Counterfactual policy,outcome,0,0.34354166666666663,0.3300207851824175,0.35706254815091576,1.0,1.0,1.0
Counterfactual policy,random,3,0.7992708333333334,0.789850361204035,0.8086913054626318,0.3056615323227413,0.2941554744291839,0.3171675902162987
Counterfactual policy,joint,1,1.0,1.0,1.0,0.0,0.0,0.0
Executable code,outcome,0,0.37625,0.36436647348303797,0.388133526516962,1.0,1.0,1.0
Executable code,targeted,2,0.8789772727272728,0.8713994001437199,0.8865551453108257,0.19432238698785598,0.18029427584428984,0.20835049813142212
Executable code,joint,1,1.0,1.0,1.0,0.0,0.0,0.0
Symbolic logic,outcome,0,0.402875,0.3933343697797263,0.41241563022027367,1.0,1.0,1.0
Symbolic logic,adaptive_witness,2,0.9315,0.9258825272586332,0.9371174727413668,0.11496813761548906,0.10413769976629934,0.1257985754646788
Symbolic logic,adaptive_witness,3,1.0,1.0,1.0,0.0,0.0,0.0
Static reasoning,outcome,0,0.4134375,0.4025749232837385,0.4243000767162615,0.8347508702032631,0.8279792724793693,0.8415224679271569
Static reasoning,random,1,0.6990625,0.6863153318776722,0.7118096681223278,0.42819168383847644,0.4127772947388907,0.4436060729380622
Static reasoning,adaptive,1,1.0,1.0,1.0,0.0,0.0,0.0
