shift,strategy,budget,accuracy,fpr
default,fixed_train_prior_ig,1,0.8699999999999998,0.20000000000000004
default,retuned_ig_upper_bound,1,0.8699999999999998,0.20000000000000004
default,fixed,1,0.49399999999999994,0.7784615384615385
default,fixed_train_prior_ig,2,1.0,0.0
default,retuned_ig_upper_bound,2,1.0,0.0
default,fixed,2,0.49399999999999994,0.7784615384615385
default,fixed_train_prior_ig,3,1.0,0.0
default,retuned_ig_upper_bound,3,1.0,0.0
default,fixed,3,0.49399999999999994,0.7784615384615385
conditional_heavy,fixed_train_prior_ig,1,0.9299999999999998,0.1076923076923077
conditional_heavy,retuned_ig_upper_bound,1,0.9299999999999998,0.1076923076923077
conditional_heavy,fixed,1,0.41800000000000004,0.8953846153846154
conditional_heavy,fixed_train_prior_ig,2,1.0,0.0
conditional_heavy,retuned_ig_upper_bound,2,1.0,0.0
conditional_heavy,fixed,2,0.41800000000000004,0.8953846153846154
conditional_heavy,fixed_train_prior_ig,3,1.0,0.0
conditional_heavy,retuned_ig_upper_bound,3,1.0,0.0
conditional_heavy,fixed,3,0.41800000000000004,0.8953846153846154
parity_heavy,fixed_train_prior_ig,1,0.5499999999999999,0.6923076923076924
parity_heavy,retuned_ig_upper_bound,1,0.9299999999999999,0.10769230769230774
parity_heavy,fixed,1,0.4940000000000001,0.7784615384615386
parity_heavy,fixed_train_prior_ig,2,1.0000000000000002,0.0
parity_heavy,retuned_ig_upper_bound,2,1.0000000000000002,0.0
parity_heavy,fixed,2,0.4940000000000001,0.7784615384615386
parity_heavy,fixed_train_prior_ig,3,1.0000000000000002,0.0
parity_heavy,retuned_ig_upper_bound,3,1.0000000000000002,0.0
parity_heavy,fixed,3,0.4940000000000001,0.7784615384615386
ignore_heavy,fixed_train_prior_ig,1,0.9499999999999998,0.07692307692307691
ignore_heavy,retuned_ig_upper_bound,1,0.8999999999999998,0.15384615384615388
ignore_heavy,fixed,1,0.5339999999999998,0.7169230769230768
ignore_heavy,fixed_train_prior_ig,2,0.9999999999999999,0.0
ignore_heavy,retuned_ig_upper_bound,2,0.9999999999999999,0.0
ignore_heavy,fixed,2,0.5339999999999998,0.7169230769230768
ignore_heavy,fixed_train_prior_ig,3,0.9999999999999999,0.0
ignore_heavy,retuned_ig_upper_bound,3,0.9999999999999999,0.0
ignore_heavy,fixed,3,0.5339999999999998,0.7169230769230768
balanced_shortcuts,fixed_train_prior_ig,1,0.8699999999999997,0.19999999999999998
balanced_shortcuts,retuned_ig_upper_bound,1,0.87,0.20000000000000004
balanced_shortcuts,fixed,1,0.5839999999999999,0.64
balanced_shortcuts,fixed_train_prior_ig,2,0.9999999999999999,0.0
balanced_shortcuts,retuned_ig_upper_bound,2,0.9999999999999999,0.0
balanced_shortcuts,fixed,2,0.5839999999999999,0.64
balanced_shortcuts,fixed_train_prior_ig,3,0.9999999999999999,0.0
balanced_shortcuts,retuned_ig_upper_bound,3,0.9999999999999999,0.0
balanced_shortcuts,fixed,3,0.5839999999999999,0.64
