strategy,budget,accuracy,fpr,cost
generic_ig,1,0.6799999999999999,0.4923076923076923,1.0
generic_ig_per_cost,1,0.6799999999999999,0.4923076923076923,1.0
random,1,0.8116159999999998,0.2898215384615384,
generic_ig,2,0.8799999999999999,0.1846153846153846,2.0
generic_ig_per_cost,2,0.8799999999999999,0.1846153846153846,2.0
random,2,0.9493599999999999,0.0779076923076923,
generic_ig,3,1.0,0.0,3.0
generic_ig_per_cost,3,1.0,0.0,3.0
random,3,0.990088,0.015249230769230768,
random_cost_matched,1,0.6799999999999998,0.49230769230769217,1.0
random_cost_matched,2,0.8799999999999998,0.1846153846153846,2.0
random_cost_matched,3,1.0,0.0,3.0
